"","BG","NAG","LAP","AP","swe_lt","soil_moisture_lt","pr_lt","gpp_lt","ph","nonTreeCover","height","tmmn_lt"
"1",32.99203072,135.3862161,43.89307573,2706.832646,16.3,0.41535872,67.6,0.019286522,560,47.33333333,165,3.621666667
"2",34.4229637,55.75343267,5.83121322,4073.089825,16.3,0.41535872,67.6,0.019286522,560,47.33333333,165,3.621666667
"3",41.37077772,22.40423206,13.88486295,639.0879166,16.3,0.41535872,67.6,0.019286522,560,47.33333333,165,3.621666667
"4",83.87710617,24.49949978,10.89955168,711.1216823,59.81666667,0.56114846,56.5,0.018416087,560,52.42857143,67,0.56
"5",284.2442317,39.94227916,16.06157583,829.6969832,59.81666667,0.56114846,56.5,0.018416087,560,52.42857143,67,0.56
"6",169.1084512,187.1275246,58.71749275,1212.943424,59.81666667,0.56114846,56.5,0.018416087,560,52.42857143,67,0.56
"7",204.5612139,36.16441125,11.67851408,1414.65703,39.75,0.33386302,61.5,0,580,63.66666667,1,3.235
"8",480.8882323,64.12649028,1.942887146,1322.214597,39.75,0.33386302,61.5,0,580,63.66666667,1,3.235
"9",58.47508631,22.84788141,8.560589223,1430.537388,43.11666667,0.13823664,43.1,0.021950435,600,40.76190476,142,1.96
"10",424.3171408,316.9614888,164.8873878,2642.519411,44.06666667,0.49217913,61.6,0.01980913,540,43.28571429,17,1.755
"11",64.52959804,13.22028061,16.51402924,640.4405036,76.11666667,0.45209864,63.88333333,0.018764783,500,39.42857143,111,0.208333333
"12",81.41614138,2.025706006,5.682688573,739.0055659,72.73333333,0.47881067,49.36666667,0.019687368,480,43.71428571,70,-1.543333333
"13",83.67139462,61.12607033,22.28193121,2349.835488,72.73333333,0.47881067,49.36666667,0.019687368,480,43.71428571,70,-1.543333333
"14",276.3482881,233.1236991,25.29910957,3444.046465,72.73333333,0.47881067,49.36666667,0.019687368,480,43.71428571,70,-1.543333333
"15",708.2532903,586.2307266,92.55470872,1975.638951,39.7,0.396933,67.26666667,0.01963087,480,22,198,1.49
"16",203.0769776,200.3143989,10.42441975,1111.059758,39.7,0.396933,67.26666667,0.01963087,480,22,198,1.49
"17",664.3901547,275.9399642,1.799684554,1127.827626,39.7,0.396933,67.26666667,0.01963087,480,22,198,1.49
"18",37.45732334,37.99542784,11.68468409,370.4521403,61.35,0.340424283,57.96666667,0,600,67.47619048,104,1.028333333
"19",110.9688844,74.94747578,16.70731152,2498.661976,61.35,0.35668616,57.96666667,0,590,61.04761905,104,1.028333333
"20",645.2544336,536.467169,19.21735567,1161.296969,41.55,0.30546784,50.71666667,0.018178696,620,54.61904762,126,2.073333333
"21",244.9575347,641.9946038,47.59839488,2116.942323,41.55,0.30546784,50.71666667,0.018178696,620,54.61904762,126,2.073333333
"22",919.3825309,331.4907679,149.9256451,3633.869328,41.55,0.30546784,50.71666667,0.018178696,620,54.61904762,126,2.073333333
"23",549.7975902,262.826462,20.61154231,5816.400795,39.11666667,0.28301507,56.41666667,0.021517391,530,27.19047619,174,2.401666667
"24",78.59149293,73.12579944,55.68171479,1343.006761,39.11666667,0.28301507,56.41666667,0.021517391,530,27.19047619,174,2.401666667
"25",229.4404803,280.7793723,25.29189506,5122.916304,0,0.48700655,111.5333333,0.012734783,530,61.0952381,29,7.323333333
"26",307.4407037,412.2251813,66.65994639,3953.417189,0,0.39827046,121.4666667,0.013450435,470,69.47619048,211,6.623333333
"27",111.8532594,78.62309938,23.26328412,1818.226091,0,0.4711978,140.0833333,0.012335217,510,61.95238095,140,5.966666667
"28",220.0677219,204.0973539,10.31293265,3325.36632,117.7,0.5431067,98.11666667,0.026034348,480,29.04761905,336,-0.056666667
"29",456.3011985,164.2339692,110.3074855,3631.060493,21.95,0.31239426,66.33333333,0.021065652,570,44.61904762,613,-0.89
"30",223.2745684,74.98681176,8.483712438,1378.285287,23.91666667,0.2858028,69.23333333,0.01634,590,44.85714286,893,-2.885
"31",117.2048314,66.07889652,12.65531773,3024.263973,23.63333333,0.26823387,64.81666667,0.018519565,620,21.52380952,1340,-4.798333333
"32",533.668801,87.60016992,7.664090839,1200.592949,21.71666667,0.25602973,63.93333333,0.019063913,540,33.0952381,1474,-4.583333333
"33",890.2392557,214.3553224,22.74101338,3195.285952,117.1333333,0.34630412,85.71666667,0.016263043,480,53,110,-0.916666667
"34",218.5238783,82.19161526,0,1409.276045,105.15,0.5661921,85.53333333,0.022574348,460,30.42857143,377,-2.586666667
"35",69.70884592,54.01866589,9.852919745,586.9894485,113.0833333,0.378888598,91.5,0.020256522,500,63.76190476,2,0.661666667
"36",31.24162525,7.910488403,11.14716453,448.159593,121.9,0.5713632,90.45,0.023905217,430,41.33333333,59,0.061666667
"37",35.99017192,24.14346749,14.37788953,685.7586812,121.2,0.407496159,97.5,0.02342913,470,61.19047619,1,0.563333333
"38",224.2907942,100.1730427,11.98271613,1441.691176,100.2166667,0.36586767,84.4,0.011300435,560,63.95238095,173,-3.483333333
"39",1041.849349,237.5086135,8.234906788,1680.243785,98.38333333,0.39707464,84.65,0,550,60.0952381,172,-3.085
"40",17.26296,47.68949636,4.943458914,1352.325932,24.5,0.2867777,56.61666667,0.019695217,560,42.80952381,120,3.326666667
"41",14.17313471,9.434038784,5.372268235,562.2010102,21.36666667,0.31451002,57.93333333,0.021546087,580,43.71428571,21,4.305
"42",262.0560757,304.7955736,31.97289965,452.957527,8.4,0.59081316,54.76666667,0.025138261,570,39.23809524,21,4.875
"43",49.72336868,26.29189952,11.9740842,360.066695,25.05,0.23141333,55.78333333,0.018443043,590,51.66666667,49,3.78
"44",94.64597441,55.67553712,6.803263921,732.024791,25.26666667,0.23141333,55.35,0.017853478,630,54.14285714,46,3.79
"45",51.21874007,186.3621627,31.87988156,1069.980931,26.96666667,0.2757396,55.65,0.01821913,560,59.76190476,81,3.358333333
"46",263.1481158,147.3241389,19.94361825,1252.344276,26.96666667,0.2757396,55.65,0.01821913,560,59.76190476,81,3.358333333
"47",369.763803,576.4733793,61.48163984,4402.685147,26.96666667,0.2757396,55.65,0.01821913,560,59.76190476,81,3.358333333
"48",384.6920754,405.4428923,32.25681897,3974.282652,26.96666667,0.2757396,55.65,0.01821913,560,59.76190476,81,3.358333333
"49",6.989027448,11.93443671,7.397467337,287.7964757,26.96666667,0.2757396,55.65,0.01821913,560,59.76190476,81,3.358333333
"50",170.5003757,166.2496739,10.70869322,1694.420734,55.81666667,0.5278016,56.83333333,0,530,69.47619048,170,0.676666667
"51",28.60705877,34.66420974,23.87695611,233.7368032,69.83333333,0.40240404,53.86666667,0.018235122,440,32.71428571,280,-1.315
"52",144.4213706,167.1345239,34.28894344,131.7453109,60.41666667,0.354846554,54.23333333,0.021070048,480,42.76190476,11,0.555
"53",81.25492854,75.20106068,2.470976256,1804.61078,18.56666667,0.38015634,57.88333333,0.023688261,560,41.61904762,19,4.085
"54",40.40779232,195.0794849,15.48316908,1671.559231,24.81666667,0.3416146,61.5,0.023383478,540,43.23809524,43,3.685
"55",32.38872261,51.53501976,23.23540845,1818.753729,29.53333333,0.38466412,59.46666667,0.021061304,580,46.33333333,56,3.753333333
"56",218.633009,33.41598766,8.796229631,1153.275008,22.35,0.36369407,61.16666667,0.021225652,550,55,54,3.825
"57",45.77584519,27.23208921,6.675709988,956.4391385,20.31666667,0.32698897,58.98333333,0.019760435,560,47.33333333,44,4.07
"58",23.05579111,31.92647677,17.8380549,696.9881531,21.05,0.37009436,60.61666667,0.024946957,530,30.23809524,39,4.015
"59",196.9424371,101.7603701,7.707431865,1752.196839,30.66666667,0.38466412,59.36666667,0.02167087,540,53.38095238,52,3.71
"60",91.59566463,63.01131525,9.353876481,339.8225227,100.5666667,0.35408464,78.36666667,0.015750575,450,71.76190476,31,0.865
"61",113.7467769,92.44794539,10.37740529,748.9477045,96.2,0.3938957,81.76666667,0.005340066,489.5792599,NA,0,1.213333333
"62",114.8151895,281.4001954,47.00357348,1669.026764,0,0.263734,68.3,0.024931304,560,58.28571429,139,8.18
"63",331.6179808,419.9578805,10.21710269,3213.354134,0,0.263734,68.86666667,0.024566522,570,66.04761905,158,8.12
"64",236.6828316,291.7453909,24.7161811,2764.497099,0,0.263734,68.3,0.024243043,560,58.28571429,136,8.18
