"","NTI"
"MAPP_001",5.86806634935577
"MAPP_002",7.82087694046727
"MAPP_003",8.41804741605777
"MAPP_004",4.50623878030129
"MAPP_005",6.4764092935322
"MAPP_006",4.89555261677034
"MAPP_007",0.921424738097378
"MAPP_008",5.80633834317376
"MAPP_009",4.94539633559947
"MAPP_010",5.30305362060782
"MAPP_011",4.98285862415113
"MAPP_012",6.37629642347663
"MAPP_013",4.05791421878969
"MAPP_014",4.46482184091306
"MAPP_015",6.571962183988
"MAPP_016",5.99233481734764
"MAPP_017",6.21650515214877
"MAPP_018",3.62440957829668
"MAPP_019",5.75160595484476
"MAPP_020",6.8927805611356
"MAPP_021",6.42599588684288
"MAPP_022",5.86122658889279
"MAPP_023",2.14029906863367
"MAPP_024",5.87404129895473
"MAPP_025",6.56386406808757
"MAPP_026",6.81097213012725
"MAPP_027",3.9099097766112
"MAPP_028",5.16027695742938
"MAPP_029",6.59263215888159
"MAPP_030",4.75209876950616
"MAPP_031",7.01267473780139
"MAPP_032",5.88368785634764
"MAPP_033",5.62587179865525
"MAPP_034",7.11008846973975
"MAPP_035",7.04589420989574
"MAPP_036",6.20583801027212
"MAPP_037",7.22101618914297
"MAPP_038",5.32513534178389
"MAPP_039",5.74147127999636
"MAPP_040",8.2967017962079
"MAPP_041",6.50804173335748
"MAPP_043",5.44388667157701
"MAPP_044",6.18945288160371
"MAPP_045",5.07121636944143
"MAPP_046",4.99079731195818
"MAPP_048",6.81268097208648
"MAPP_049",6.10493534831963
"MAPP_050",6.18284026697557
"MAPP_051",6.89186429297753
"MAPP_052",7.67090174441673
"MAPP_053",8.46949418024318
"MAPP_055",6.57358405886546
"MAPP_056",7.35979397051951
"MAPP_057",5.62193921813326
"MAPP_058",6.35479919314086
"MAPP_059",6.55232540827062
"MAPP_060",4.68996871476306
"MAPP_061",5.66098667829604
"MAPP_062",4.69236254077529
"MAPP_063",4.16419166849007
"MAPP_064",5.20546840075286
"MAPP_065",5.30465657976011
"MAPP_066",4.34647064893535
"MAPP_067",4.49381613281389
"MAPP_068",8.32030174873399
"MAPP_069",8.3944408567533
"MAPP_070",6.0383114484118
"MAPP_071",5.9796970261195
"MAPP_072",6.43248117402163
"MAPP_073",7.14249807689793
"MAPP_074",5.78752694149243
"MAPP_075",5.3786623905768
"MAPP_076",5.39352168392127
"MAPP_077",3.12537271599449
"MAPP_078",5.03573124407122
"MAPP_079",8.08122875059334
"MAPP_084",7.34380856580588
"MAPP_086",5.78272046197862
"MAPP_087A",4.50531205336045
"MAPP_088",8.15193233223475
"MAPP_090",5.44628422561559
"MAPP_091",7.27485455828365
"MAPP_105",4.47666263413094
"MAPP_126",3.46445485417156
"MAPP_127",6.42571697136591
"MAPP_128",6.52016068076673
"MAPP_129",4.11164509444636
"MAPP_130",7.34939961919792
"MAPP_131",5.18866410883094
"MAPP_132",6.02864373745314
"MAPP_133",5.72729693922948
"MAPP_134",4.24576479869041
"MAPP_135",4.50312011968423
"MAPP_136",6.94432740785587
"MAPP_137",6.22561797352588
"MAPP_138",5.09199438498316
"MAPP_139",5.9927381987548
"MAPP_140",6.6414329622941
"MAPP_141",2.42263581920541
"MAPP_142",3.54964571453286
"MAPP_153",4.93353798551367
"MAPP_154",4.1961538117397
"MAPP_155",6.68133685225189
"MAPP_156",5.32567539576704
"MAPP_157",5.48955572468152
"MAPP_158",3.04106247834865
"MAPP_159",2.4357728572977
"MAPP_160",4.62469605746284
"MAPP_161",5.0173098476001
"MAPP_167",5.75662234637625
"MAPP_168",2.3049642264682
"MAPP_169",6.53391170326074
"MAPP_170",8.65512401870944
"MAPP_171",4.65107460549637
"MAPP_172",5.52518857768696
"MAPP_173",4.79046057116532
"MAPP_174",6.67992332705231
"MAPP_181",4.53185560140385
"MAPP_182",4.94783028047262
"MAPP_183",4.81313561182962
"MAPP_184",5.38043613082395
"MAPP_185",5.44982880728271
"MAPP_191",4.79375125360899
"MAPP_192",5.86643458112968
"MAPP_193",5.80742361915893
"MAPP_194",5.64329972702967
"MAPP_195",6.48238071470423
"MAPP_196",6.73815150753269
"MAPP_197",6.03357913244593
"MAPP_202",5.93324330316806
"MAPP_203",5.79172987084245
"MAPP_204",4.33403030640639
"MAPP_210",4.49041453806728
"MAPP_211",5.20477700397479
"MAPP_212",2.75099773089728
"MAPP_213",3.08483558679742
"MAPP_214",6.71495437883153
"MAPP_215",5.91648447533904
"MAPP_216",6.32731162137732
"MAPP_217",5.49181079987131
"MAPP_218",5.0837921673461
"MAPP_219",4.9532239004718
"MAPP_220",5.90375312460264
"MAPP_221",1.71326608647387
"MAPP_222",4.696617522698
"MAPP_223",2.44549043081103
"MAPP_224",5.23749533497092
"MAPP_225",6.38097924358912
"MAPP_226",6.58337088703248
"MAPP_230",6.14199462573296
"MAPP_238",7.15117490633435
"MAPP_242",6.30441285742067
"MAPP_243",4.52988872161764
"MAPP_246A",7.43315751749971
"MAPP_246C",5.02147196005706
"MAPP_247",4.563822273371
"MAPP_248",3.72680471732397
"MAPP_249",5.10657176817522
"MAPP_250",4.70255318454195
"MAPP_251",5.82512675125709
"MAPP_255",2.56370768627792
"MAPP_256B",6.69201873047309
"MAPP_257",6.58965904002874
"MAPP_259",3.0877572442199
"MAPP_260",6.08961505400405
"MAPP_261",4.6945678329694
"MAPP_262",4.19320276351304
"MAPP_263",4.9319557623298
"MAPP_264",3.98722465989572
"MAPP_265",6.37761774692932
"MAPP_266",5.90475791430108
