"","Sample ID_y","Sample ID_x","RCbray"
"1",22,22,0
"2",120,22,-1
"3",60,22,-1
"4",163,22,-1
"5",134,22,-1
"6",211,22,-1
"7",72,22,-1
"8",22,22,-1
"9",241,22,-1
"10",73,22,-1
"11",13,22,0.85
"12",275,22,-1
"13",106,22,-1
"14",126,22,-0.53
"15",163,22,-1
"16",107,22,-0.94
"17",111,22,-1
"18",95,22,-1
"19",117,22,-1
"20",82,22,-0.99
"21",110,22,-1
"22",102,22,-0.71
"23",341,22,-1
"24",230,22,-1
"25",271,22,-1
"26",61,22,-0.82
"27",108,22,-0.99
"28",73,22,-1
"29",212,22,-0.99
"30",544,22,-1
"31",106,22,-1
"32",71,22,-1
"33",221,22,-1
"34",216,22,-1
"35",160,22,-1
"36",261,22,-0.92
"37",326,22,-1
"38",41,22,-1
"39",109,22,-1
"40",72,22,-1
"41",22,22,-1
"42",48,22,1
"43",182,22,-0.89
"44",55,22,-1
"45",160,22,-0.98
"46",106,22,-1
"47",39,22,-1
"48",68,22,-0.85
"49",7,22,-0.92
"50",27,22,-1
"51",11,22,-0.32
"52",56,22,-0.99
"53",52,22,-1
"54",244,22,-1
"55",100,22,-1
"56",648,22,-1
"57",52,22,-1
"58",245,22,-1
"59",26,22,1
"60",1,22,1
"61",548,22,-0.7
"62",0,22,1
"63",0,22,1
"64",0,22,1
"65",0,22,0.73
"66",0,22,1
"67",0,22,1
"68",0,22,1
"69",98,22,-1
"70",199,22,-0.99
"71",42,22,-1
"72",197,22,-1
"73",95,22,-1
"74",218,22,-1
"75",99,22,0.88
"76",9,22,-1
"77",74,22,-1
"78",53,22,-1
"79",35,22,-0.99
"80",26,22,-1
"81",215,22,-1
"82",231,22,-1
"83",436,22,-0.96
"84",108,22,-1
"85",35,22,-0.96
"86",226,22,-1
"87",152,22,0.95
"88",10,22,-1
"89",72,22,-1
"90",199,22,-1
"91",442,22,-1
"92",181,22,-1
"93",150,22,-1
"94",185,22,-1
"95",206,22,-1
"96",129,22,-1
"97",730,22,0.87
"98",17,22,-1
"99",86,22,0.98
"100",0,22,1
"101",538,22,-0.88
"102",360,22,0.86
"103",56,22,1
"104",218,22,-0.09
"105",185,22,-0.99
"106",207,22,-0.99
"107",55,22,1
"108",101,22,1
"109",38,22,1
"110",70,22,-0.8
"111",43,22,1
"112",74,22,-1
"113",114,22,-0.71
"114",288,22,-0.95
"115",133,22,-0.73
"116",18,22,0.15
"117",51,22,-1
"118",430,22,0.02
"119",119,22,0.42
"120",198,22,0.45
"121",10,22,-0.99
"122",131,22,-1
"123",56,22,-1
"124",123,22,-0.45
"125",308,22,-1
"126",41,22,1
"127",87,22,-0.64
"128",96,22,-0.55
"129",14,22,-1
"130",101,22,0.97
"131",185,22,-0.77
"132",0,22,1
"133",245,22,-0.99
"134",209,22,-0.86
"135",274,22,-1
"136",178,22,-0.35
"137",79,22,-1
"138",38,22,-0.15
"139",218,22,0.07
"140",89,22,-0.99
"141",510,22,0.14
"142",79,22,1
"143",239,22,-0.12
"144",285,22,-1
"145",64,22,-1
"146",1044,22,-0.9
"147",63,22,-1
"148",51,22,-1
"149",0,22,-1
"150",229,22,-1
"151",297,22,-1
"152",150,22,-1
"153",225,22,-1
"154",572,22,-1
"155",71,22,-0.18
"156",480,22,-1
"157",231,22,-0.99
"158",340,22,-1
"159",204,22,-1
"160",375,22,-1
"161",325,22,-1
"162",77,22,-1
"163",274,22,0.04
"164",185,22,0.81
"165",114,22,1
"166",274,22,-1
"167",171,22,-1
"168",404,22,0.66
"169",134,22,-1
"170",203,22,-1
"171",90,22,-1
"172",22,120,-1
"173",120,120,0
"174",60,120,-1
"175",163,120,-1
"176",134,120,-1
"177",211,120,-1
"178",72,120,-1
"179",22,120,-1
"180",241,120,-1
"181",73,120,-1
"182",13,120,0.96
"183",275,120,-0.99
"184",106,120,-1
"185",126,120,-0.93
"186",163,120,-1
"187",107,120,-1
"188",111,120,-1
"189",95,120,-1
"190",117,120,-1
"191",82,120,-1
"192",110,120,-1
"193",102,120,-0.67
"194",341,120,-1
"195",230,120,-1
"196",271,120,-1
"197",61,120,-0.94
"198",108,120,-1
"199",73,120,-1
"200",212,120,-0.82
"201",544,120,-1
"202",106,120,-1
"203",71,120,-1
"204",221,120,-1
"205",216,120,-1
"206",160,120,-1
"207",261,120,-0.53
"208",326,120,-1
"209",41,120,-0.81
"210",109,120,0.96
"211",72,120,-1
"212",22,120,-0.99
"213",48,120,1
"214",182,120,-1
"215",55,120,-1
"216",160,120,-1
"217",106,120,-1
"218",39,120,-1
"219",68,120,-1
"220",7,120,-1
"221",27,120,-1
"222",11,120,-1
"223",56,120,-1
"224",52,120,-1
"225",244,120,-1
"226",100,120,-1
"227",648,120,-1
"228",52,120,-1
"229",245,120,-1
"230",26,120,1
"231",1,120,1
"232",548,120,-0.56
"233",0,120,1
"234",0,120,1
"235",0,120,1
"236",0,120,-0.4
"237",0,120,1
"238",0,120,1
"239",0,120,0.96
"240",98,120,-1
"241",199,120,-1
"242",42,120,-1
"243",197,120,-1
"244",95,120,-1
"245",218,120,-1
"246",99,120,0.76
"247",9,120,-1
"248",74,120,-1
"249",53,120,-1
"250",35,120,-1
"251",26,120,-1
