"","Sample ID_y","Sample ID_x","RCbray"
"1","MAPP_001","MAPP_001",0
"2","MAPP_002","MAPP_001",-1
"3","MAPP_003","MAPP_001",-1
"4","MAPP_004","MAPP_001",-1
"5","MAPP_005","MAPP_001",-1
"6","MAPP_006","MAPP_001",-1
"7","MAPP_007","MAPP_001",-1
"8","MAPP_008","MAPP_001",-1
"9","MAPP_009","MAPP_001",-1
"10","MAPP_010","MAPP_001",-1
"11","MAPP_011","MAPP_001",0.84
"12","MAPP_012","MAPP_001",-1
"13","MAPP_013","MAPP_001",-1
"14","MAPP_014","MAPP_001",-0.58
"15","MAPP_015","MAPP_001",-1
"16","MAPP_016","MAPP_001",-0.95
"17","MAPP_017","MAPP_001",-1
"18","MAPP_018","MAPP_001",-1
"19","MAPP_019","MAPP_001",-1
"20","MAPP_020","MAPP_001",-0.99
"21","MAPP_021","MAPP_001",-1
"22","MAPP_022","MAPP_001",-0.73
"23","MAPP_023","MAPP_001",-1
"24","MAPP_024","MAPP_001",-1
"25","MAPP_025","MAPP_001",-1
"26","MAPP_026","MAPP_001",-0.8
"27","MAPP_027","MAPP_001",-0.99
"28","MAPP_028","MAPP_001",-1
"29","MAPP_029","MAPP_001",-0.98
"30","MAPP_030","MAPP_001",-1
"31","MAPP_031","MAPP_001",-1
"32","MAPP_032","MAPP_001",-1
"33","MAPP_033","MAPP_001",-1
"34","MAPP_034","MAPP_001",-1
"35","MAPP_035","MAPP_001",-1
"36","MAPP_036","MAPP_001",-0.94
"37","MAPP_037","MAPP_001",-1
"38","MAPP_038","MAPP_001",-1
"39","MAPP_039","MAPP_001",-1
"40","MAPP_040","MAPP_001",-1
"41","MAPP_041","MAPP_001",-1
"42","MAPP_043","MAPP_001",1
"43","MAPP_044","MAPP_001",-0.95
"44","MAPP_045","MAPP_001",-1
"45","MAPP_046","MAPP_001",-0.99
"46","MAPP_048","MAPP_001",-1
"47","MAPP_049","MAPP_001",-1
"48","MAPP_050","MAPP_001",-0.83
"49","MAPP_051","MAPP_001",-0.91
"50","MAPP_052","MAPP_001",-1
"51","MAPP_053","MAPP_001",-0.29
"52","MAPP_055","MAPP_001",-0.98
"53","MAPP_056","MAPP_001",-1
"54","MAPP_057","MAPP_001",-1
"55","MAPP_058","MAPP_001",-1
"56","MAPP_059","MAPP_001",-1
