"","Sample","n0","koppen_clim"
"1","001",438,"Temperate"
"2","002",540,"Temperate"
"3","003",543,"Temperate"
"4","004",218,"Continental cold/Tundra"
"5","005",361,"Continental cold/Tundra"
"6","006",239,"Continental cold/Tundra"
"7","007",239,"Continental hot summer"
"8","008",386,"Continental hot summer"
"9","009",159,"Continental hot summer"
"10","010",186,"Continental hot summer"
"11","011",172,"Continental hot summer"
"12","012",268,"Continental hot summer"
"13","013",192,"Continental hot summer"
"14","014",242,"Continental hot summer"
"15","015",183,"Continental hot summer"
"16","016",391,"Continental hot summer"
"17","017",228,"Continental cold/Tundra"
"18","018",297,"Continental cold/Tundra"
"19","019",310,"Continental hot summer"
"20","020",421,"Continental cold/Tundra"
"21","021",541,"Continental cold/Tundra"
"22","022",679,"Continental cold/Tundra"
"23","023",188,"Continental hot summer"
"24","024",424,"Continental hot summer"
"25","025",475,"Continental hot summer"
"26","026",482,"Continental hot summer"
"27","027",240,"Continental hot summer"
"28","028",241,"Continental hot summer"
"29","029",451,"Continental hot summer"
"30","030",213,"Continental hot summer"
"31","031",304,"Continental hot summer"
"32","032",366,"Continental hot summer"
"33","033",377,"Continental hot summer"
"34","034",387,"Temperate"
"35","035",417,"Temperate"
"36","036",372,"Temperate"
"37","037",392,"Temperate"
"38","038",202,"Temperate"
"39","039",433,"Temperate"
"40","040",355,"Temperate"
"41","041",179,"Continental hot summer"
"42","043",333,"Continental hot summer"
"43","044",229,"Continental hot summer"
"44","045",501,"Continental hot summer"
"45","046",324,"Continental hot summer"
"46","048",550,"Continental hot summer"
"47","049",547,"Continental hot summer"
"48","050",446,"Continental hot summer"
"49","051",476,"Continental hot summer"
"50","052",502,"Continental hot summer"
"51","053",493,"Continental hot summer"
"52","055",312,"Continental hot summer"
"53","056",374,"Continental hot summer"
"54","057",240,"Continental hot summer"
"55","058",271,"Continental hot summer"
"56","059",303,"Continental hot summer"
"57","060",326,"Continental hot summer"
"58","061",210,"Continental hot summer"
"59","062",591,"Continental cold/Tundra"
"60","063",648,"Continental cold/Tundra"
"61","064",275,"Continental cold/Tundra"
"62","065",467,"Continental cold/Tundra"
"63","066",278,"Continental cold/Tundra"
"64","067",327,"Continental cold/Tundra"
"65","068",644,"Temperate"
"66","069",688,"Temperate"
"67","070",425,"Temperate"
"68","071",467,"Temperate"
"69","072",324,"Continental hot summer"
"70","073",294,"Continental hot summer"
"71","074",152,"Continental hot summer"
"72","075",203,"Continental hot summer"
"73","076",315,"Continental hot summer"
"74","077",261,"Continental cold/Tundra"
"75","078",402,"Temperate"
"76","079",549,"Temperate"
"77","084",255,"Continental hot summer"
"78","086",385,"Continental hot summer"
"79","087a",329,"Continental hot summer"
"80","088",382,"Continental hot summer"
"81","090",221,"Continental hot summer"
"82","091",293,"Continental hot summer"
"83","105",240,"Temperate"
"84","126",414,"Continental hot summer"
"85","127",478,"Continental hot summer"
"86","128",429,"Continental hot summer"
"87","129",210,"Continental hot summer"
"88","130",546,"Continental hot summer"
"89","131",383,"Continental cold/Tundra"
"90","132",386,"Continental cold/Tundra"
"91","133",357,"Continental cold/Tundra"
"92","134",359,"Continental cold/Tundra"
"93","135",252,"Continental cold/Tundra"
"94","136",404,"Continental cold/Tundra"
"95","137",324,"Continental cold/Tundra"
"96","138",348,"Continental hot summer"
"97","139",293,"Temperate"
"98","140",281,"Temperate"
"99","141",159,"Temperate"
"100","142",205,"Temperate"
"101","153",228,"Temperate"
"102","154",123,"Continental hot summer"
"103","155",251,"Continental hot summer"
"104","156",249,"Continental cold/Tundra"
"105","157",241,"Continental hot summer"
"106","158",164,"Temperate"
"107","159",389,"Temperate"
"108","160",253,"Temperate"
"109","161",630,"Temperate"
"110","167",325,"Temperate"
"111","168",530,"Temperate"
"112","169",507,"Continental hot summer"
"113","170",501,"Continental hot summer"
"114","171",193,"Continental cold/Tundra"
"115","172",365,"Temperate"
"116","173",437,"Temperate"
"117","174",453,"Temperate"
"118","181",383,"Continental hot summer"
"119","182",465,"Continental hot summer"
"120","183",392,"Continental hot summer"
"121","184",453,"Continental hot summer"
"122","185",377,"Continental hot summer"
"123","191",168,"Temperate"
"124","192",333,"Temperate"
"125","193",180,"Temperate"
"126","194",709,"Temperate"
"127","195",451,"Temperate"
"128","196",454,"Temperate"
"129","197",262,"Temperate"
"130","202",400,"Temperate"
"131","203",276,"Temperate"
"132","204",271,"Temperate"
"133","210",390,"Continental cold/Tundra"
"134","211",486,"Continental cold/Tundra"
"135","212",375,"Continental cold/Tundra"
"136","213",311,"Continental cold/Tundra"
"137","214",486,"Continental hot summer"
"138","215",451,"Temperate"
"139","216",495,"Temperate"
"140","217",469,"Temperate"
"141","218",120,"Temperate"
"142","219",507,"Temperate"
"143","220",236,"Temperate"
"144","221",105,"Temperate"
"145","222",177,"Temperate"
"146","223",146,"Temperate"
"147","224",305,"Temperate"
"148","225",318,"Temperate"
"149","226",200,"Temperate"
"150","230",326,"Temperate"
"151","238",281,"Temperate"
"152","242",348,"Temperate"
"153","243",214,"Temperate"
"154","246a",293,"Continental cold/Tundra"
"155","246c",298,"Temperate"
"156","247",221,"Continental cold/Tundra"
"157","248",286,"Continental cold/Tundra"
"158","249",190,"Continental cold/Tundra"
"159","250",267,"Continental cold/Tundra"
"160","251",290,"Continental cold/Tundra"
"161","255",307,"Continental cold/Tundra"
"162","256b",455,"Continental cold/Tundra"
"163","257",256,"Continental cold/Tundra"
"164","259",228,"Continental cold/Tundra"
"165","260",312,"Continental cold/Tundra"
"166","261",502,"Continental cold/Tundra"
"167","262",364,"Continental cold/Tundra"
"168","263",310,"Continental cold/Tundra"
"169","264",231,"Continental cold/Tundra"
"170","265",226,"Continental cold/Tundra"
"171","266",379,"Continental cold/Tundra"
