"","Sample","height","soil_moisture_lt","swe_lt","pr_lt","tmmn_lt","gpp_lt","ph","nonTreeCover"
"1","001",165,0.41535872,16.3,67.6,3.621666667,0.019286522,560,47.33333333
"2","002",165,0.41535872,16.3,67.6,3.621666667,0.019286522,560,47.33333333
"3","003",165,0.41535872,16.3,67.6,3.621666667,0.019286522,560,47.33333333
"4","004",67,0.56114846,59.81666667,56.5,0.56,0.018416087,560,52.42857143
"5","005",67,0.56114846,59.81666667,56.5,0.56,0.018416087,560,52.42857143
"6","006",67,0.56114846,59.81666667,56.5,0.56,0.018416087,560,52.42857143
"7","007",1,0.33386302,39.75,61.5,3.235,0,580,63.66666667
"8","008",1,0.33386302,39.75,61.5,3.235,0,580,63.66666667
"9","009",155,0.11482977,38.1,41.18333333,1.781666667,0.022176522,490,19.38095238
"10","010",155,0.11482977,38.1,41.18333333,1.781666667,0.022176522,490,19.38095238
"11","011",155,0.11482977,38.1,41.18333333,1.781666667,0.022176522,490,19.38095238
"12","012",142,0.13823664,43.11666667,43.1,1.96,0.021950435,600,40.76190476
"13","013",142,0.13823664,43.11666667,43.1,1.96,0.021950435,600,40.76190476
"14","014",142,0.13823664,43.11666667,43.1,1.96,0.021950435,600,40.76190476
"15","015",17,0.49217913,44.06666667,61.6,1.755,0.01980913,540,43.28571429
"16","016",17,0.49217913,44.06666667,61.6,1.755,0.01980913,540,43.28571429
"17","017",111,0.45209864,76.11666667,63.88333333,0.208333333,0.018764783,500,39.42857143
"18","018",111,0.45209864,76.11666667,63.88333333,0.208333333,0.018764783,500,39.42857143
"19","019",174,0.28301507,39.11666667,56.41666667,2.401666667,0.021517391,530,27.19047619
"20","020",70,0.47881067,72.73333333,49.36666667,-1.543333333,0.019687368,480,43.71428571
"21","021",70,0.47881067,72.73333333,49.36666667,-1.543333333,0.019687368,480,43.71428571
"22","022",70,0.47881067,72.73333333,49.36666667,-1.543333333,0.019687368,480,43.71428571
"23","023",103,0.6298696,51.93333333,57.2,1.211666667,0,520,36.66666667
"24","024",198,0.396933,39.7,67.26666667,1.49,0.01963087,480,22
"25","025",198,0.396933,39.7,67.26666667,1.49,0.01963087,480,22
"26","026",198,0.396933,39.7,67.26666667,1.49,0.01963087,480,22
"27","027",104,0.340424283,61.35,57.96666667,1.028333333,0,600,67.47619048
"28","028",104,0.35668616,61.35,57.96666667,1.028333333,0,590,61.04761905
"29","029",126,0.30546784,41.55,50.71666667,2.073333333,0.018178696,620,54.61904762
"30","030",126,0.30546784,41.55,50.71666667,2.073333333,0.018178696,620,54.61904762
"31","031",126,0.30546784,41.55,50.71666667,2.073333333,0.018178696,620,54.61904762
"32","032",174,0.28301507,39.11666667,56.41666667,2.401666667,0.021517391,530,27.19047619
"33","033",174,0.28301507,39.11666667,56.41666667,2.401666667,0.021517391,530,27.19047619
"34","034",12,0.3737101,0,105.9333333,10.095,0.03897913,570,39.9047619
"35","035",16,0.3737101,0,105.5166667,9.985,0.037724348,590,40.52380952
"36","036",45,0.21859828,0,80.98333333,8.985,0.028744348,620,46.76190476
"37","037",55,0.23927315,0,78.38333333,8.763333333,0.031908261,610,40.14285714
"38","038",29,0.48700655,0,111.5333333,7.323333333,0.012734783,530,61.0952381
"39","039",211,0.39827046,0,121.4666667,6.623333333,0.013450435,470,69.47619048
"40","040",140,0.4711978,0,140.0833333,5.966666667,0.012335217,510,61.95238095
"41","041",336,0.5431067,117.7,98.11666667,-0.056666667,0.026034348,480,29.04761905
"42","043",613,0.31239426,21.95,66.33333333,-0.89,0.021065652,570,44.61904762
"43","044",893,0.2858028,23.91666667,69.23333333,-2.885,0.01634,590,44.85714286
"44","045",1340,0.26823387,23.63333333,64.81666667,-4.798333333,0.018519565,620,21.52380952
"45","046",1474,0.25602973,21.71666667,63.93333333,-4.583333333,0.019063913,540,33.0952381
"46","048",110,0.34630412,117.1333333,85.71666667,-0.916666667,0.016263043,480,53
"47","049",377,0.5661921,105.15,85.53333333,-2.586666667,0.022574348,460,30.42857143
"48","050",2,0.378888598,113.0833333,91.5,0.661666667,0.020256522,500,63.76190476
"49","051",59,0.5713632,121.9,90.45,0.061666667,0.023905217,430,41.33333333
"50","052",83,0.30448702,116.2333333,98.43333333,0.065,0.01901087,470,36.23809524
"51","053",1,0.407496159,121.2,97.5,0.563333333,0.02342913,470,61.19047619
"52","055",173,0.36586767,100.2166667,84.4,-3.483333333,0.011300435,560,63.95238095
"53","056",172,0.39707464,98.38333333,84.65,-3.085,0,550,60.0952381
"54","057",120,0.2867777,24.5,56.61666667,3.326666667,0.019695217,560,42.80952381
"55","058",21,0.31451002,21.36666667,57.93333333,4.305,0.021546087,580,43.71428571
"56","059",21,0.59081316,8.4,54.76666667,4.875,0.025138261,570,39.23809524
"57","060",49,0.23141333,25.05,55.78333333,3.78,0.018443043,590,51.66666667
"58","061",46,0.23141333,25.26666667,55.35,3.79,0.017853478,630,54.14285714
"59","062",126,0.31244588,37.18333333,28.65,-6.05,0.019048276,550,37.23809524
"60","063",123,0.31244588,37.18333333,28.65,-6.05,0.016481773,560,37.23809524
"61","064",122,0.31244588,37.18333333,28.65,-6.05,0.016481773,600,37.23809524
"62","065",126,0.31244588,37.18333333,28.65,-6.05,0.0184,560,48.42857143
"63","066",126,0.31244588,37.18333333,28.65,-6.05,0.022092157,580,52.52380952
"64","067",126,0.31244588,37.18333333,28.65,-6.05,0.022092157,580,52.76190476
"65","068",40,0.32060954,0,100.8833333,6.646666667,0.018842609,530,56.14285714
"66","069",39,0.3550649,0,100.8833333,6.646666667,0.018827826,550,56.14285714
"67","070",39,0.3550649,0,100.8833333,6.646666667,0.018567826,550,58.19047619
"68","071",39,0.3550649,0,100.8833333,6.646666667,0.018827826,550,58.19047619
"69","072",81,0.2757396,26.96666667,55.65,3.358333333,0.01821913,560,59.76190476
"70","073",81,0.2757396,26.96666667,55.65,3.358333333,0.01821913,560,59.76190476
"71","074",81,0.2757396,26.96666667,55.65,3.358333333,0.01821913,560,59.76190476
"72","075",81,0.2757396,26.96666667,55.65,3.358333333,0.01821913,560,59.76190476
"73","076",81,0.2757396,26.96666667,55.65,3.358333333,0.01821913,560,59.76190476
"74","077",170,0.5278016,55.81666667,56.83333333,0.676666667,0,530,69.47619048
"75","078",225,0.2950524,0.183333333,127.7833333,5.838333333,0.022056087,500,66.23809524
"76","079",3,0.59557927,0,90,7.801666667,0.015806522,540,52.95238095
"77","084",56,0.38466412,29.53333333,59.46666667,3.753333333,0.021061304,580,46.33333333
"78","086",54,0.36369407,22.35,61.16666667,3.825,0.021225652,550,55
"79","087a",49,0.3362768,29.46666667,56.73333333,3.073333333,0.022283478,510,48.85714286
"80","088",44,0.32698897,20.31666667,58.98333333,4.07,0.019760435,560,47.33333333
"81","090",52,0.38466412,30.66666667,59.36666667,3.71,0.02167087,540,53.38095238
"82","091",23,0.38015634,18.48333333,58.2,4.068333333,0.02473913,510,31.80952381
"83","105",794,0.47505185,51.5,141.9,2.398333333,0.028176522,500,25.42857143
"84","126",48,0.33850226,18.36666667,49.43333333,3.395,0.021345652,460,31.80952381
"85","127",48,0.33850226,18.36666667,49.43333333,3.395,0.022597391,440,31.80952381
"86","128",59,0.33589542,17.68333333,49.3,3.446666667,0.024138261,440,23.85714286
"87","129",58,0.33589542,17.68333333,49.3,3.446666667,0.023957826,440,12.71428571
"88","130",88,0.31328422,9.583333333,46.96666667,4.023333333,0.024166522,430,37.28571429
"89","131",15,0.62326264,112.2833333,73.9,-2.42,0,560,62.61904762
"90","132",14,0.37472725,127.6333333,79.61666667,-2.6,0,460,63.04761905
"91","133",9,0.35846338,133.75,83.13333333,-2.371666667,0,510,60.47619048
"92","134",386,0.6582162,129.8666667,78.58333333,-4.815,0.014797826,500,46.14285714
"93","135",0,0.298662129,104.2166667,73.23333333,-2.426666667,0.016968261,491.2443221,60.42857143
"94","136",111,0.431778001,110.1666667,76.65,-2.728333333,0.017656522,470,65.19047619
"95","137",76,0.41612098,134.5166667,91.68333333,-3.528333333,0.018941304,450,56.85714286
"96","138",61,0.442239,129.25,93.86666667,-2.218333333,0.01724913,470,49.47619048
"97","139",1049,0.21864568,1.533333333,63.71666667,5.32,0.030724783,510,4.047619048
"98","140",1191,0.20403774,4.166666667,78.9,3.53,0.02573087,590,63.19047619
"99","141",1167,0.20265453,3.283333333,73.5,3.816666667,0.025472174,560,37.57142857
"100","142",1200,0.20265453,4,78.15,3.523333333,0.023930435,580,55.9047619
"101","153",1103,0.21843739,3.466666667,71.96666667,4.121666667,0.02834087,500,21.76190476
"102","154",897,0.2858028,21.78333333,68.28333333,-2.741666667,0.016903478,560,24.19047619
"103","155",1989,0.25213757,45.05,72.55,-7.061666667,0.01319913,560,59.76190476
"104","156",1559,0.23400661,34.11666667,68.38333333,-6.11,0.017522174,570,80.80952381
"105","157",1639,0.27931526,25.75,70.05,-6.096666667,0.013178696,530,60.76190476
"106","158",1330,0.28987667,4.5,137.0166667,8.523333333,0.022956087,560,24.33333333
"107","159",937,0.546479334,0,92.71666667,13.14166667,0.029303478,510,69.80952381
"108","160",902,0.543154893,0,92.71666667,13.14166667,0.039483913,520,71
"109","161",409,0.600987408,0,111.2666667,15.36666667,0.034396522,510,43.61904762
"110","167",524,0.639080168,0,134.4333333,14.78,0.034213478,510,63.47619048
"111","168",564,0.692009587,0,133.9166667,14.91333333,0.02906087,530,71.9047619
"112","169",25,0.47368315,18.3,50,3.378333333,0.024046522,450,45.14285714
"113","170",627,0.3288446,42,109.2166667,2.095,0.026205652,600,42.0952381
"114","171",1869,0.30454308,202.4833333,120.8,-1.27,0.012783913,570,82.57142857
"115","172",1420,0.3378553,40.16666667,123.05,2.483333333,0.021018261,610,69.38095238
"116","173",1044,0.25665691,16.56666667,106.8833333,3.801666667,0.028912174,580,57.28571429
"117","174",998,0.267352,17.13333333,101.2166667,3.866666667,0.028308696,570,46.61904762
"118","181",0,0.42302865,74.03333333,108.85,3.55,0.03007087,450,18.95238095
"119","182",0,0.42302865,74.03333333,108.85,3.55,0.03007087,450,18.95238095
"120","183",4,0.451603562,74.03333333,108.85,3.55,0.021909565,518.6274293,18.95238095
"121","184",110,0.4180112,116.05,101.35,0.81,0.016035652,490,52
"122","185",111,0.4180112,116.05,101.35,0.81,0.016035652,490,52
"123","191",860,0.24889456,9.916666667,97.1,4.425,0.029342174,610,53.38095238
"124","192",140,0.21514477,0.016666667,51.8,7.61,0.028748261,560,69.47619048
"125","193",140,0.21514477,0.016666667,51.8,7.61,0.028748261,560,69.47619048
"126","194",1365,0.24597365,9.2,104.9666667,3.506666667,0.027848261,570,30.52380952
"127","195",1365,0.24597365,9.2,104.9666667,3.506666667,0.027848261,570,30.52380952
"128","196",1365,0.24597365,9.2,104.9666667,3.506666667,0.027848261,570,30.52380952
"129","197",78,0.25879553,0.016666667,70.15,6.436666667,0.02264,550,45
"130","202",1604,0.28195915,10.45,104.2833333,3.325,0.027475652,570,56.47619048
"131","203",1604,0.28195915,10.45,104.2833333,3.325,0.027475652,570,56.47619048
"132","204",1309,0.24597365,4.166666667,97.45,4.693333333,0.028748261,560,42.57142857
"133","210",188,0.3216636,84.4,47.9,-4.015,0.01307337,520,64.47619048
"134","211",200,0.31047678,83,47.88333333,-4.083333333,0.015413043,530,65.04761905
"135","212",267,0.32504314,85.21666667,49.73333333,-4.673333333,0.012234783,470,63.95238095
"136","213",265,0.32504314,83.08333333,49.6,-4.641666667,0.012090217,470,58.42857143
"137","214",94,0.5084699,39.41666667,57.41666667,2.056666667,0.019343913,490,42.28571429
"138","215",1996,0.28195915,21.65,109.8166667,2.615,0.018157391,600,59.80952381
"139","216",1996,0.28195915,21.65,109.8166667,2.615,0.018023043,600,59.80952381
"140","217",1996,0.28195915,21.65,109.8166667,2.615,0.018023043,570,59.80952381
"141","218",1408,0.28195915,4.566666667,95.85,4.343333333,0.026606522,570,27.33333333
"142","219",1408,0.28195915,4.566666667,95.85,4.343333333,0.027193478,570,27.33333333
"143","220",871,0.2625227,26.16666667,71.91666667,3,0.02284087,490,27.66666667
"144","221",35,0.24777901,2.2,50.3,6.46,0.023758261,500,27.28571429
"145","222",40,0.209753,0.65,56.06666667,6.718333333,0.02254913,500,36.28571429
"146","223",85,0.24680446,2.266666667,43.23333333,6.141666667,0.024388776,610,18.42857143
"147","224",779,0.21816559,18.45,94.83333333,3.511666667,0.022155652,560,49.52380952
"148","225",426,0.27024624,0,89.31666667,7.978333333,0.032560435,570,40.57142857
"149","226",707,0.27024624,0.35,90.81666667,6.208333333,0.036036522,640,46.71428571
"150","230",832,0.27594584,7.666666667,104.75,4.69,0.029903043,550,27.42857143
"151","238",832,0.27594584,7.666666667,104.75,4.69,0.029903043,550,27.42857143
"152","242",1461,0.24228925,9.683333333,104.05,3.291666667,0.030256087,570,31.76190476
"153","243",1496,0.24228925,14.18333333,104.5666667,2.898333333,0.030968261,570,11.95238095
"154","246a",460,0.24554004,84.13333333,45.78333333,-4.973333333,0.008403955,470,72.04761905
"155","246c",984,0.28192362,21.93333333,116.55,3.463333333,0.027194783,500,20.71428571
"156","247",460,0.24554004,84.13333333,45.78333333,-4.973333333,0.008403955,470,72.04761905
"157","248",39,0.18804833,71.7,42.01666667,-2.7,0.010518391,510,81.57142857
"158","249",39,0.18804833,71.7,42.01666667,-2.7,0.010518391,510,81.57142857
"159","250",303,0.26370507,77.83333333,41.98333333,-4.823333333,0.008311561,490,85
"160","251",303,0.26370507,77.83333333,41.98333333,-4.823333333,0.008311561,490,85
"161","255",181,0.5792474,55.9,56.88333333,0.676666667,0.020226522,420,15.95238095
"162","256b",181,0.5792474,55.9,56.88333333,0.676666667,0.020226522,420,15.95238095
"163","257",181,0.5792474,55.9,56.88333333,0.676666667,0.020226522,420,15.95238095
"164","259",515,0.2937053,72.61666667,42.2,-6.276666667,0.007390503,480,89.66666667
"165","260",500,0.2922366,72.16666667,42.23333333,-6.065,0.007848876,470,85
"166","261",505,0.2922366,72.16666667,42.23333333,-5.851666667,0.007784831,470,85
"167","262",511,0.2937053,70.41666667,41.55,-5.966666667,0.007060452,490,89.23809524
"168","263",520,0.2922366,72.26666667,42.11666667,-6.211666667,0.006956742,470,87.95238095
"169","264",170,0.5278016,55.81666667,56.83333333,0.676666667,0,530,69.47619048
"170","265",170,0.5278016,55.81666667,56.83333333,0.676666667,0,530,69.47619048
"171","266",170,0.5278016,55.81666667,56.83333333,0.676666667,0,530,69.47619048
